Time (min),Irradiance (W/m^2)
336.310,0
337.302,0
338.294,0
339.286,0
340.278,0
341.270,0
342.262,0
343.254,0
344.246,0
345.238,0
346.230,0
347.222,0
348.214,0
349.206,0
350.198,0
351.190,0
352.183,0
353.175,0
354.167,0
355.159,0
356.151,0
357.143,0
358.135,0
359.127,0
360.119,0
361.111,0
362.103,0
363.095,0
364.087,0
365.079,0
366.071,1.406296
367.063,3.146499
368.056,5.234915
369.048,7.301775
370.040,8.992537
371.032,9.74535
372.024,9.783545
373.016,9.666038
374.008,9.819716
375.000,10.25606
375.992,10.75288
376.984,11.10507
377.976,12.04405
378.968,13.15033
379.960,14.26979
380.952,15.16085
381.944,16.28126
382.937,17.46572
383.929,18.50777
384.921,19.93041
385.913,21.10264
386.905,22.21908
387.897,24.05695
388.889,25.8279
389.881,27.42228
390.873,28.44139
391.865,29.3361
392.857,31.27952
393.849,32.9083
394.841,34.26432
395.833,36.48532
396.825,38.28873
397.817,41.30737
398.810,45.90286
399.802,50.45792
400.794,53.36699
401.786,56.50974
402.778,60.65727
403.770,63.99316
404.762,66.8168
405.754,69.24735
406.746,71.97053
407.738,72.99644
408.730,73.66361
409.722,74.56194
410.714,75.34373
411.706,76.55988
412.698,78.58253
413.690,83.24903
414.683,86.95913
415.675,87.47787
416.667,91.619
417.659,96.86529
418.651,98.38746
419.643,97.33347
420.635,98.29986
421.627,101.2799
422.619,104.4275
423.611,106.4158
424.603,107.9384
425.595,109.5172
426.587,112.2186
427.579,115.4908
428.571,118.0928
429.563,121.8627
430.556,126.3487
431.548,127.797
432.540,131.8663
433.532,133.754
434.524,137.4324
435.516,140.8999
436.508,141.742
437.500,144.495
438.492,145.3729
439.484,146.4729
440.476,148.2801
441.468,148.6115
442.460,148.8553
443.452,151.6864
444.444,153.8185
445.437,157.0845
446.429,159.7347
447.421,162.2266
448.413,163.7354
449.405,163.5927
450.397,167.199
451.389,169.5042
452.381,169.5495
453.373,169.7025
454.365,172.0089
455.357,174.8851
456.349,176.86
457.341,178.9199
458.333,180.4384
459.325,182.317
460.317,181.5726
461.310,180.721
462.302,180.3818
463.294,182.2434
464.286,183.5321
465.278,184.6656
466.270,186.1771
467.262,186.9629
468.254,187.9341
469.246,187.2513
470.238,187.0829
471.230,189.6979
472.222,190.9566
473.214,190.6533
474.206,191.625
475.198,191.716
476.190,192.6587
477.183,193.1031
478.175,192.8848
479.167,194.2298
480.159,195.2503
481.151,196.2941
482.143,198.384
483.135,197.9603
484.127,197.4948
485.119,199.3064
486.111,200.7211
487.103,200.9501
488.095,200.283
489.087,200.255
490.079,200.7777
491.071,202.8505
492.063,204.6311
493.056,205.0697
494.048,206.7966
495.040,206.3746
496.032,206.3832
497.024,206.7234
498.016,205.8845
499.008,206.6798
500.000,206.6465
500.992,209.2798
501.984,210.2154
502.976,211.0393
503.968,212.6588
504.960,211.6314
505.952,212.8785
506.944,214.4838
507.937,215.764
508.929,215.0955
509.921,216.0346
510.913,217.8849
511.905,218.9335
512.897,220.0205
513.889,221.5244
514.881,224.6514
515.873,229.1059
516.865,232.6265
517.857,233.4596
518.849,236.0423
519.841,239.351
520.833,242.3498
521.825,241.962
522.817,241.3715
523.810,240.4896
524.802,241.6778
525.794,243.8129
526.786,246.4244
527.778,248.7172
528.770,250.3494
529.762,250.9028
530.754,253.1588
531.746,254.8645
532.738,256.8255
533.730,259.3245
534.722,259.8738
535.714,262.0023
536.706,265.7616
537.698,267.2092
538.690,268.9323
539.683,269.1255
540.675,267.8911
541.667,268.3328
542.659,273.2278
543.651,276.5702
544.643,278.9491
545.635,283.1487
546.627,285.6325
547.619,285.9339
548.611,286.4996
549.603,285.1626
550.595,286.1244
551.587,288.5326
552.579,290.3042
553.571,289.4378
554.563,288.857
555.556,292.8335
556.548,293.7959
557.540,296.8192
558.532,301.0578
559.524,304.2769
560.516,307.3071
561.508,310.045
562.500,308.9643
563.492,309.5485
564.484,311.5895
565.476,313.0039
566.468,313.2773
567.460,315.4662
568.452,317.6075
569.444,318.443
570.437,316.6223
571.429,313.7275
572.421,316.3148
573.413,284.4655
574.405,285.2775
575.397,268.3874
576.389,260.4518
577.381,227.1398
578.373,249.0759
579.365,220.3033
580.357,204.4193
581.349,222.9166
582.341,240.8714
583.333,230.5298
584.325,211.628
585.317,252.656
586.310,308.4667
587.302,351.641
588.294,349.5954
589.286,356.7648
590.278,360.2656
591.270,365.5872
592.262,369.5131
593.254,369.6401
594.246,370.2064
595.238,374.0201
596.230,377.0235
597.222,379.1748
598.214,380.3881
599.206,381.2514
600.198,383.0692
601.190,381.9356
602.183,382.364
603.175,384.5763
604.167,385.5537
605.159,388.2554
606.151,390.6804
607.143,394.1205
608.135,397.8864
609.127,399.1382
610.119,400.3227
611.111,401.669
612.103,402.1675
613.095,403.8114
614.087,403.2632
615.079,396.9146
616.071,398.5092
617.063,402.866
618.056,403.2607
619.048,391.0503
620.040,380.6278
621.032,381.3583
622.024,382.2729
623.016,391.6737
624.008,396.2857
625.000,397.5445
625.992,400.793
626.984,408.132
627.976,413.5622
628.968,415.3557
629.960,413.7641
630.952,418.3123
631.944,421.6981
632.937,422.0773
633.929,425.6388
634.921,426.764
635.913,428.2754
636.905,429.4955
637.897,429.4041
638.889,431.4508
639.881,424.7845
640.873,410.5481
641.865,397.5342
642.857,403.9781
643.849,380.1415
644.841,344.5012
645.833,320.7081
646.825,349.268
647.817,383.0672
648.810,397.975
649.802,406.6322
650.794,415.2995
651.786,393.5581
652.778,366.8887
653.770,410.2627
654.762,424.7392
655.754,443.751
656.746,461.7748
657.738,457.9141
658.730,453.3548
659.722,448.9054
660.714,442.7503
661.706,468.2562
662.698,467.705
663.690,465.7528
664.683,462.407
665.675,460.4602
666.667,458.1891
667.659,458.3301
668.651,461.9533
669.643,464.1509
